calexp_path,calexp_fwhm,coadd_fwhm,tract,patch,visit,detector,filter,diffexp_path,diaSrc_path
./data/patch_0to6/injection/11_20_21_1157696_32_i/fake_20/calexp/01157696-i/R10/calexp_01157696-i-R10-S12-det032.fits,4.752336279190549,4.082986137171966,4639,"1,1",1157696,32,i,./data/patch_0to6/diff/al_default_v23/11_20_21_1157696_32_i/diff_20/deepDiff/v01157696-fi/R10/diffexp_01157696-i-R10-S12-det032.fits,./data/patch_0to6/diff/al_default_v23/11_20_21_1157696_32_i/diff_20/deepDiff/v01157696-fi/R10/diaSrc_01157696-i-R10-S12-det032.fits
./data/patch_0to6/injection/00_20_21_1165787_183_i/fake_20/calexp/01165787-i/R43/calexp_01165787-i-R43-S10-det183.fits,5.3623258934272595,4.0797978669175246,4639,"0,0",1165787,183,i,./data/patch_0to6/diff/al_default_v23/00_20_21_1165787_183_i/diff_20/deepDiff/v01165787-fi/R43/diffexp_01165787-i-R43-S10-det183.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_1165787_183_i/diff_20/deepDiff/v01165787-fi/R43/diaSrc_01165787-i-R43-S10-det183.fits
./data/patch_0to6/injection/44_20_21_1157696_51_i/fake_20/calexp/01157696-i/R12/calexp_01157696-i-R12-S20-det051.fits,4.743688742286072,4.097523832080805,4639,"4,4",1157696,51,i,./data/patch_0to6/diff/al_default_v23/44_20_21_1157696_51_i/diff_20/deepDiff/v01157696-fi/R12/diffexp_01157696-i-R12-S20-det051.fits,./data/patch_0to6/diff/al_default_v23/44_20_21_1157696_51_i/diff_20/deepDiff/v01157696-fi/R12/diaSrc_01157696-i-R12-S20-det051.fits
./data/patch_0to6/injection/55_20_21_1232016_78_i/fake_20/calexp/01232016-i/R20/calexp_01232016-i-R20-S20-det078.fits,3.5136370170364737,4.089752374672761,4639,"5,5",1232016,78,i,./data/patch_0to6/diff/al_default_v23/55_20_21_1232016_78_i/diff_20/deepDiff/v01232016-fi/R20/diffexp_01232016-i-R20-S20-det078.fits,./data/patch_0to6/diff/al_default_v23/55_20_21_1232016_78_i/diff_20/deepDiff/v01232016-fi/R20/diaSrc_01232016-i-R20-S20-det078.fits
./data/patch_0to6/injection/44_20_21_687400_168_i/fake_20/calexp/00687400-i/R41/calexp_00687400-i-R41-S20-det168.fits,5.734877362989927,4.097523832080805,4639,"4,4",687400,168,i,./data/patch_0to6/diff/al_default_v23/44_20_21_687400_168_i/diff_20/deepDiff/v00687400-fi/R41/diffexp_00687400-i-R41-S20-det168.fits,./data/patch_0to6/diff/al_default_v23/44_20_21_687400_168_i/diff_20/deepDiff/v00687400-fi/R41/diaSrc_00687400-i-R41-S20-det168.fits
./data/patch_0to6/injection/33_20_21_420781_180_i/fake_20/calexp/00420781-i/R43/calexp_00420781-i-R43-S00-det180.fits,4.524721351438771,4.074981493642976,4639,"3,3",420781,180,i,./data/patch_0to6/diff/al_default_v23/33_20_21_420781_180_i/diff_20/deepDiff/v00420781-fi/R43/diffexp_00420781-i-R43-S00-det180.fits,./data/patch_0to6/diff/al_default_v23/33_20_21_420781_180_i/diff_20/deepDiff/v00420781-fi/R43/diaSrc_00420781-i-R43-S00-det180.fits
./data/patch_0to6/injection/55_20_21_976355_120_i/fake_20/calexp/00976355-i/R30/calexp_00976355-i-R30-S10-det120.fits,4.115122883931642,4.089752374672761,4639,"5,5",976355,120,i,./data/patch_0to6/diff/al_default_v23/55_20_21_976355_120_i/diff_20/deepDiff/v00976355-fi/R30/diffexp_00976355-i-R30-S10-det120.fits,./data/patch_0to6/diff/al_default_v23/55_20_21_976355_120_i/diff_20/deepDiff/v00976355-fi/R30/diaSrc_00976355-i-R30-S10-det120.fits
./data/patch_0to6/injection/44_20_21_654466_41_i/fake_20/calexp/00654466-i/R11/calexp_00654466-i-R11-S12-det041.fits,4.640430084917068,4.097523832080805,4639,"4,4",654466,41,i,./data/patch_0to6/diff/al_default_v23/44_20_21_654466_41_i/diff_20/deepDiff/v00654466-fi/R11/diffexp_00654466-i-R11-S12-det041.fits,./data/patch_0to6/diff/al_default_v23/44_20_21_654466_41_i/diff_20/deepDiff/v00654466-fi/R11/diaSrc_00654466-i-R11-S12-det041.fits
./data/patch_0to6/injection/44_20_21_263457_20_i/fake_20/calexp/00263457-i/R03/calexp_00263457-i-R03-S02-det020.fits,5.141847464316011,4.097523832080805,4639,"4,4",263457,20,i,./data/patch_0to6/diff/al_default_v23/44_20_21_263457_20_i/diff_20/deepDiff/v00263457-fi/R03/diffexp_00263457-i-R03-S02-det020.fits,./data/patch_0to6/diff/al_default_v23/44_20_21_263457_20_i/diff_20/deepDiff/v00263457-fi/R03/diaSrc_00263457-i-R03-S02-det020.fits
./data/patch_0to6/injection/00_20_21_1185854_13_i/fake_20/calexp/01185854-i/R02/calexp_01185854-i-R02-S11-det013.fits,3.466534598101292,4.0797978669175246,4639,"0,0",1185854,13,i,./data/patch_0to6/diff/al_default_v23/00_20_21_1185854_13_i/diff_20/deepDiff/v01185854-fi/R02/diffexp_01185854-i-R02-S11-det013.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_1185854_13_i/diff_20/deepDiff/v01185854-fi/R02/diaSrc_01185854-i-R02-S11-det013.fits
./data/patch_0to6/injection/33_20_21_244023_157_i/fake_20/calexp/00244023-i/R34/calexp_00244023-i-R34-S11-det157.fits,3.8174391184824996,4.074981493642976,4639,"3,3",244023,157,i,./data/patch_0to6/diff/al_default_v23/33_20_21_244023_157_i/diff_20/deepDiff/v00244023-fi/R34/diffexp_00244023-i-R34-S11-det157.fits,./data/patch_0to6/diff/al_default_v23/33_20_21_244023_157_i/diff_20/deepDiff/v00244023-fi/R34/diaSrc_00244023-i-R34-S11-det157.fits
./data/patch_0to6/injection/00_20_21_915757_119_i/fake_20/calexp/00915757-i/R30/calexp_00915757-i-R30-S02-det119.fits,4.237766994905265,4.0797978669175246,4639,"0,0",915757,119,i,./data/patch_0to6/diff/al_default_v23/00_20_21_915757_119_i/diff_20/deepDiff/v00915757-fi/R30/diffexp_00915757-i-R30-S02-det119.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_915757_119_i/diff_20/deepDiff/v00915757-fi/R30/diaSrc_00915757-i-R30-S02-det119.fits
